Duration Used (days),Total Usage (minutes),Reason for Quitting,Cost Offered (rupees),Accepted Offer
31,2167,Expensive,600,TRUE
329,8481,Unhappy,800,TRUE
330,25776,Unhappy,700,TRUE
110,7294,Not Useful,500,TRUE
293,26601,Unhappy,700,TRUE
54,1724,Expensive,800,TRUE
223,17109,Not Useful,900,FALSE
340,30582,Not Useful,500,TRUE
345,32420,Not Useful,700,TRUE
175,12751,Others,900,TRUE
284,9546,Not Useful,500,TRUE
12,1091,Unhappy,900,FALSE
132,7669,Not Useful,900,TRUE
89,5140,Others,500,TRUE
122,5921,Expensive,500,FALSE
40,1630,Not Useful,500,FALSE
251,21972,Not Useful,900,TRUE
289,9431,Expensive,800,TRUE
47,3667,Expensive,500,TRUE
15,838,Unhappy,900,TRUE
220,20390,Expensive,800,TRUE
238,6186,Expensive,700,TRUE
110,10630,Unhappy,600,TRUE
248,5082,Expensive,500,TRUE
212,11996,Unhappy,600,TRUE
201,8395,Unhappy,700,TRUE
33,3067,Expensive,900,TRUE
167,14996,Unhappy,900,FALSE
241,17165,Others,900,FALSE
250,20049,Expensive,800,TRUE
178,9817,Not Useful,700,FALSE
89,4464,Unhappy,500,TRUE
187,13649,Unhappy,600,TRUE
298,17525,Expensive,500,TRUE
42,4117,Not Useful,700,FALSE
109,6634,Not Useful,500,TRUE
204,17814,Others,700,FALSE
240,18966,Others,600,FALSE
41,1460,Unhappy,800,FALSE
131,10054,Unhappy,500,TRUE
155,6225,Others,800,FALSE
133,7687,Expensive,700,FALSE
206,10690,Not Useful,900,FALSE
66,3933,Not Useful,600,TRUE
211,18867,Others,700,FALSE
121,3512,Expensive,600,TRUE
162,16186,Unhappy,500,TRUE
196,14495,Expensive,700,TRUE
45,4179,Unhappy,500,TRUE
170,4202,Unhappy,700,TRUE
170,10443,Expensive,900,FALSE
160,9630,Others,800,FALSE
299,17177,Others,900,TRUE
42,3640,Others,500,FALSE
180,7496,Expensive,600,TRUE
46,2805,Unhappy,600,FALSE
43,1337,Expensive,500,TRUE
186,8208,Not Useful,700,TRUE
295,23040,Expensive,900,FALSE
280,26051,Expensive,800,TRUE
249,16446,Expensive,800,TRUE
279,8453,Unhappy,900,TRUE
192,7074,Expensive,900,TRUE
359,15371,Expensive,500,TRUE
175,11879,Expensive,800,TRUE
275,6403,Expensive,800,FALSE
20,1641,Expensive,800,FALSE
62,4551,Not Useful,600,TRUE
365,13836,Others,800,FALSE
235,12951,Unhappy,600,TRUE
352,12367,Unhappy,500,FALSE
247,11009,Expensive,800,TRUE
140,8508,Unhappy,500,TRUE
313,30680,Unhappy,800,FALSE
39,3110,Expensive,700,TRUE
58,4830,Unhappy,900,FALSE
167,6109,Unhappy,600,FALSE
48,1793,Unhappy,800,FALSE
257,18678,Expensive,600,TRUE
141,13334,Unhappy,600,FALSE
98,3858,Expensive,900,TRUE
312,27245,Others,800,TRUE
316,22032,Expensive,700,FALSE
246,22266,Unhappy,900,TRUE
298,28346,Not Useful,600,TRUE
89,7547,Expensive,500,TRUE
293,5954,Expensive,900,FALSE
184,6416,Unhappy,600,TRUE
219,14561,Unhappy,800,FALSE
319,25864,Expensive,700,FALSE
70,6052,Unhappy,900,FALSE
197,5486,Others,700,TRUE
72,1955,Unhappy,900,TRUE
167,3755,Not Useful,900,TRUE
131,5681,Expensive,800,TRUE
261,18490,Others,500,TRUE
36,2343,Unhappy,800,TRUE
110,7848,Unhappy,800,TRUE
166,9513,Expensive,500,FALSE
8,612,Not Useful,700,FALSE
266,18537,Expensive,600,TRUE
349,31392,Others,700,FALSE
285,27282,Expensive,900,FALSE
3,70,Unhappy,900,TRUE
360,24169,Expensive,500,TRUE
247,8267,Not Useful,900,FALSE
166,16209,Not Useful,600,FALSE
88,7764,Expensive,600,TRUE
268,17540,Unhappy,900,TRUE
76,5458,Others,500,TRUE
241,19767,Expensive,700,TRUE
55,1318,Unhappy,700,TRUE
127,6221,Expensive,600,TRUE
351,29214,Expensive,900,TRUE
260,6465,Expensive,600,TRUE
84,3843,Not Useful,800,TRUE
277,8380,Not Useful,700,TRUE
101,8735,Not Useful,700,TRUE
158,6612,Others,800,TRUE
309,18953,Not Useful,900,FALSE
147,13357,Unhappy,800,TRUE
42,4060,Unhappy,800,TRUE
230,19586,Not Useful,500,TRUE
142,12027,Expensive,700,TRUE
326,18261,Unhappy,600,TRUE
48,1872,Expensive,700,FALSE
313,9648,Others,600,TRUE
171,13134,Expensive,500,TRUE
166,5431,Expensive,800,TRUE
234,18816,Expensive,800,TRUE
349,18521,Not Useful,600,TRUE
57,4772,Expensive,500,TRUE
103,3673,Unhappy,900,FALSE
140,8380,Not Useful,700,TRUE
134,12183,Not Useful,900,FALSE
125,7319,Unhappy,600,TRUE
27,1041,Expensive,600,TRUE
23,2171,Expensive,600,FALSE
38,3277,Unhappy,600,FALSE
64,3981,Expensive,800,TRUE
289,7596,Expensive,500,TRUE
141,10085,Expensive,600,TRUE
211,17993,Not Useful,700,TRUE
43,1561,Others,700,TRUE
311,19830,Unhappy,700,TRUE
50,4611,Others,900,FALSE
255,22439,Unhappy,800,TRUE
75,3061,Not Useful,700,FALSE
158,4115,Expensive,500,TRUE
315,28862,Unhappy,700,FALSE
163,6422,Unhappy,900,FALSE
292,7344,Not Useful,700,TRUE
296,9198,Expensive,800,TRUE
91,3709,Expensive,500,TRUE
228,9688,Expensive,500,TRUE
130,7356,Not Useful,700,TRUE
313,14853,Unhappy,800,TRUE
238,10806,Unhappy,900,FALSE
341,12103,Not Useful,600,TRUE
362,22322,Not Useful,800,TRUE
194,6807,Not Useful,900,FALSE
167,8681,Not Useful,900,FALSE
120,10392,Expensive,500,TRUE
163,13637,Unhappy,500,TRUE
220,12390,Expensive,600,FALSE
144,5728,Expensive,700,TRUE
63,6023,Unhappy,500,FALSE
183,12219,Unhappy,900,FALSE
256,13118,Unhappy,600,TRUE
259,14502,Not Useful,900,TRUE
36,3067,Expensive,500,TRUE
26,907,Expensive,700,TRUE
41,946,Expensive,800,FALSE
286,5786,Not Useful,800,FALSE
80,3290,Expensive,600,TRUE
308,28890,Expensive,800,FALSE
79,7421,Unhappy,700,FALSE
164,12879,Expensive,600,FALSE
321,26606,Not Useful,700,FALSE
225,15300,Unhappy,600,TRUE
184,14376,Unhappy,700,TRUE
27,1772,Expensive,500,TRUE
322,16558,Expensive,600,TRUE
346,18624,Unhappy,600,TRUE
43,4054,Not Useful,800,TRUE
248,11984,Not Useful,700,TRUE
313,19129,Expensive,900,FALSE
176,5911,Expensive,700,TRUE
337,10729,Not Useful,800,TRUE
301,20675,Unhappy,800,TRUE
36,2297,Others,700,TRUE
259,11905,Unhappy,800,TRUE
160,8122,Others,600,TRUE
281,26963,Others,800,TRUE
306,20442,Not Useful,800,FALSE
198,13233,Expensive,800,TRUE
89,2795,Others,500,TRUE
319,8154,Unhappy,500,FALSE
306,30087,Unhappy,700,FALSE
346,21456,Unhappy,700,FALSE
127,8501,Unhappy,900,FALSE
106,9030,Expensive,600,TRUE
135,4843,Unhappy,800,TRUE
146,10365,Unhappy,500,TRUE
278,8952,Expensive,900,FALSE
121,9508,Expensive,800,TRUE
40,3926,Not Useful,700,TRUE
112,9474,Unhappy,500,TRUE
45,1818,Unhappy,900,TRUE
240,16830,Expensive,800,FALSE
195,18703,Others,900,TRUE
304,29377,Unhappy,900,FALSE
210,19841,Expensive,600,TRUE
351,8369,Unhappy,800,TRUE
183,14563,Not Useful,500,TRUE
364,10514,Unhappy,600,TRUE
300,16412,Unhappy,500,TRUE
283,21979,Not Useful,700,FALSE
364,28489,Others,500,TRUE
345,8281,Expensive,500,TRUE
316,8660,Expensive,500,TRUE
115,3720,Unhappy,800,FALSE
364,27169,Not Useful,500,TRUE
232,9098,Not Useful,500,TRUE
108,2976,Unhappy,700,TRUE
310,11562,Expensive,600,TRUE
75,7453,Not Useful,900,FALSE
158,4930,Not Useful,500,TRUE
48,1894,Expensive,900,FALSE
39,3182,Others,800,TRUE
362,33931,Expensive,600,TRUE
190,4750,Not Useful,900,FALSE
105,5849,Not Useful,800,FALSE
212,13685,Expensive,700,FALSE
217,17476,Expensive,800,TRUE
99,4900,Expensive,700,FALSE
27,1644,Unhappy,600,TRUE
188,16977,Unhappy,800,TRUE
162,4915,Expensive,700,FALSE
345,13568,Unhappy,800,FALSE
100,9580,Expensive,900,FALSE
91,2510,Expensive,900,TRUE
359,10108,Unhappy,900,TRUE
268,25608,Unhappy,900,FALSE
138,6854,Expensive,900,FALSE
279,24236,Expensive,600,TRUE
145,12815,Unhappy,800,TRUE
215,11673,Not Useful,500,TRUE
345,23773,Unhappy,800,FALSE
256,11330,Expensive,700,TRUE
95,3830,Unhappy,900,FALSE
131,6741,Expensive,600,TRUE
165,16270,Expensive,900,FALSE
170,7225,Expensive,600,FALSE
46,1926,Not Useful,600,FALSE
297,8516,Not Useful,700,TRUE
289,13532,Expensive,800,TRUE
242,12094,Expensive,700,TRUE
183,6408,Expensive,900,FALSE
84,6578,Others,800,TRUE
49,4147,Expensive,800,FALSE
206,15205,Expensive,900,FALSE
175,17027,Not Useful,600,TRUE
205,14670,Not Useful,600,FALSE
23,1744,Not Useful,900,TRUE
294,20709,Expensive,500,TRUE
59,4348,Unhappy,500,TRUE
175,15220,Unhappy,500,TRUE
253,18736,Expensive,600,TRUE
245,9848,Expensive,600,FALSE
145,6389,Unhappy,900,TRUE
17,1612,Others,500,TRUE
252,9719,Unhappy,900,TRUE
211,14317,Not Useful,700,TRUE
131,7358,Unhappy,800,TRUE
50,3742,Expensive,600,TRUE
312,29960,Expensive,600,FALSE
286,11536,Unhappy,800,FALSE
145,13788,Expensive,900,FALSE
133,8325,Not Useful,900,TRUE
27,2420,Others,900,FALSE
208,13455,Not Useful,900,FALSE
244,17089,Unhappy,500,TRUE
298,6073,Not Useful,600,TRUE
175,9243,Unhappy,500,TRUE
279,17735,Others,900,FALSE
80,7412,Expensive,700,TRUE
232,10848,Expensive,500,TRUE
301,8317,Unhappy,800,TRUE
365,23861,Expensive,900,FALSE
73,4492,Not Useful,600,TRUE
242,23996,Expensive,900,TRUE
196,18761,Not Useful,700,FALSE
231,9753,Expensive,500,FALSE
271,9090,Not Useful,500,TRUE
213,12197,Expensive,800,TRUE
325,26354,Unhappy,800,FALSE
100,4523,Expensive,800,FALSE
363,19951,Unhappy,800,TRUE
87,8412,Not Useful,800,TRUE
182,7078,Unhappy,600,TRUE
32,1028,Others,900,TRUE
241,22634,Unhappy,600,FALSE
142,9356,Unhappy,600,FALSE
178,8265,Unhappy,900,FALSE
253,6154,Unhappy,700,TRUE
105,4414,Expensive,900,FALSE
340,12710,Not Useful,500,TRUE
321,10433,Unhappy,800,FALSE
85,4591,Expensive,900,TRUE
59,4346,Unhappy,700,TRUE
293,28291,Expensive,500,TRUE
244,24318,Expensive,900,FALSE
67,3346,Unhappy,800,FALSE
241,16703,Unhappy,600,FALSE
154,14764,Expensive,800,FALSE
333,8273,Not Useful,700,FALSE
184,7865,Expensive,900,TRUE
173,8795,Not Useful,900,TRUE
23,979,Expensive,700,FALSE
259,9556,Expensive,800,TRUE
214,4637,Unhappy,800,FALSE
192,17300,Not Useful,800,TRUE
198,16437,Unhappy,900,FALSE
229,12707,Not Useful,700,FALSE
349,11143,Expensive,800,TRUE
141,5322,Not Useful,700,TRUE
258,9738,Unhappy,900,FALSE
2,81,Not Useful,900,TRUE
344,10923,Unhappy,700,TRUE
199,7375,Expensive,900,TRUE
37,1961,Others,700,FALSE
205,9053,Not Useful,800,TRUE
272,10898,Unhappy,700,TRUE
330,15971,Unhappy,800,TRUE
30,661,Unhappy,600,TRUE
84,7546,Others,600,TRUE
227,6304,Not Useful,500,TRUE
168,16063,Expensive,700,TRUE
38,2029,Expensive,600,TRUE
42,2676,Expensive,800,TRUE
267,20749,Expensive,800,TRUE
163,14802,Others,500,TRUE
281,24929,Unhappy,900,TRUE
352,33916,Expensive,500,TRUE
182,13086,Not Useful,800,TRUE
273,13523,Expensive,600,TRUE
324,20618,Unhappy,900,TRUE
328,32143,Expensive,800,FALSE
74,2868,Unhappy,600,TRUE
336,32012,Expensive,500,FALSE
248,5374,Expensive,900,TRUE
4,306,Unhappy,600,FALSE
168,3503,Expensive,800,FALSE
340,16543,Expensive,900,FALSE
98,7521,Expensive,600,TRUE
128,4205,Expensive,900,FALSE
174,14952,Expensive,900,TRUE
235,5460,Expensive,700,FALSE
244,23697,Unhappy,800,TRUE
219,20790,Expensive,700,TRUE
164,10896,Unhappy,500,TRUE
65,6411,Unhappy,800,TRUE
271,19586,Expensive,900,TRUE
170,8557,Not Useful,500,FALSE
16,384,Expensive,600,FALSE
112,5788,Not Useful,600,TRUE
218,12222,Unhappy,900,TRUE
112,3588,Unhappy,700,FALSE
137,11653,Unhappy,700,TRUE
232,9682,Others,800,TRUE
158,9015,Expensive,800,TRUE
158,8199,Unhappy,500,FALSE
230,12932,Expensive,500,TRUE
303,15341,Expensive,900,TRUE
87,7385,Expensive,900,TRUE
307,17756,Expensive,500,FALSE
4,129,Not Useful,700,TRUE
75,5677,Unhappy,800,TRUE
284,25524,Expensive,500,TRUE
15,1156,Expensive,800,FALSE
324,11390,Unhappy,900,TRUE
262,8367,Expensive,700,FALSE
137,8363,Expensive,700,FALSE
340,31182,Not Useful,600,TRUE
71,5467,Not Useful,700,FALSE
201,17432,Unhappy,500,TRUE
118,7154,Expensive,600,TRUE
203,19658,Expensive,800,FALSE
127,3347,Expensive,500,TRUE
327,10019,Not Useful,600,TRUE
301,17304,Not Useful,900,FALSE
301,9844,Others,900,TRUE
280,16615,Unhappy,500,TRUE
235,8665,Expensive,800,TRUE
347,7016,Expensive,900,TRUE
43,1473,Expensive,700,FALSE
78,6663,Expensive,700,TRUE
292,13803,Expensive,900,TRUE
303,22293,Expensive,600,TRUE
188,16350,Unhappy,900,FALSE
50,2951,Others,700,TRUE
148,11508,Unhappy,500,TRUE
202,12746,Expensive,900,FALSE
167,15935,Unhappy,900,TRUE
198,11950,Expensive,500,TRUE
129,9055,Expensive,900,FALSE
4,169,Expensive,900,TRUE
163,11429,Unhappy,500,TRUE
358,7421,Unhappy,600,TRUE
25,1047,Expensive,700,FALSE
10,344,Unhappy,600,TRUE
229,10907,Others,600,TRUE
287,7920,Unhappy,700,FALSE
42,1640,Others,600,TRUE
57,4331,Unhappy,500,FALSE
123,10928,Expensive,900,FALSE
315,15582,Unhappy,900,TRUE
33,2524,Unhappy,800,TRUE
179,9761,Unhappy,900,TRUE
83,7082,Unhappy,600,TRUE
11,324,Not Useful,700,FALSE
193,6556,Others,800,FALSE
262,17547,Unhappy,700,FALSE
159,5458,Others,800,FALSE
194,11764,Not Useful,800,TRUE
261,20075,Expensive,800,TRUE
237,17334,Unhappy,600,TRUE
265,9225,Not Useful,600,TRUE
185,6484,Expensive,700,FALSE
231,6785,Not Useful,500,TRUE
79,2807,Not Useful,800,TRUE
54,2030,Unhappy,700,TRUE
112,2287,Unhappy,900,FALSE
151,8218,Others,800,FALSE
39,1105,Expensive,600,TRUE
16,967,Expensive,800,FALSE
292,9998,Expensive,800,TRUE
341,13708,Expensive,800,TRUE
307,12736,Expensive,800,FALSE
182,15365,Not Useful,900,FALSE
295,5960,Unhappy,500,TRUE
46,1450,Unhappy,600,FALSE
121,5429,Others,800,FALSE
266,7990,Expensive,700,FALSE
72,3346,Expensive,900,FALSE
137,10275,Unhappy,600,FALSE
176,10123,Unhappy,700,FALSE
330,21069,Unhappy,800,FALSE
252,5135,Expensive,800,TRUE
14,411,Expensive,800,TRUE
142,3467,Expensive,900,FALSE
291,8461,Unhappy,500,TRUE
217,10634,Not Useful,800,TRUE
147,9671,Unhappy,900,TRUE
306,29872,Expensive,500,FALSE
158,9792,Expensive,900,TRUE
149,13272,Expensive,700,TRUE
108,8766,Unhappy,600,TRUE
202,14554,Others,700,FALSE
141,13500,Unhappy,500,FALSE
336,17724,Expensive,900,FALSE
183,6821,Expensive,500,TRUE
19,645,Expensive,500,TRUE
236,16493,Expensive,800,FALSE
32,2580,Expensive,500,TRUE
81,5663,Expensive,600,TRUE
2,106,Expensive,600,TRUE
283,6004,Not Useful,900,TRUE
301,14729,Unhappy,600,TRUE
71,1600,Expensive,800,FALSE
142,7273,Expensive,600,TRUE
321,11512,Expensive,600,TRUE
66,5077,Unhappy,500,TRUE
155,10912,Expensive,500,TRUE
114,10037,Not Useful,900,FALSE
47,1233,Unhappy,800,FALSE
91,5616,Expensive,700,FALSE
163,6361,Expensive,900,FALSE
264,26120,Others,700,TRUE
203,19690,Unhappy,600,TRUE
277,11443,Unhappy,500,TRUE
5,493,Not Useful,500,FALSE
148,13479,Others,800,TRUE
351,21429,Others,600,TRUE
269,12146,Not Useful,700,TRUE
29,810,Unhappy,700,FALSE
304,16044,Unhappy,500,TRUE
239,22253,Not Useful,500,FALSE
175,4159,Unhappy,500,TRUE
194,12615,Expensive,500,FALSE
44,4050,Expensive,500,TRUE
353,16993,Unhappy,900,TRUE
145,8516,Unhappy,700,FALSE
16,854,Expensive,800,FALSE
278,24196,Unhappy,500,TRUE
344,20962,Expensive,800,FALSE
289,5900,Unhappy,900,TRUE
205,7052,Expensive,700,TRUE
312,24847,Expensive,900,TRUE
147,10696,Not Useful,800,TRUE
136,9805,Others,700,TRUE
13,474,Unhappy,900,FALSE
93,2389,Unhappy,800,TRUE
106,8527,Unhappy,900,TRUE
14,1300,Expensive,600,TRUE
57,3485,Expensive,600,TRUE
253,8940,Not Useful,900,FALSE
142,10682,Others,900,TRUE
129,4806,Others,600,FALSE
180,16475,Expensive,500,FALSE
204,7700,Not Useful,600,FALSE
201,6898,Unhappy,600,TRUE
27,1721,Others,600,FALSE
152,6501,Unhappy,700,FALSE
239,16902,Not Useful,900,FALSE
329,13961,Unhappy,600,TRUE
259,20212,Unhappy,500,TRUE
58,5184,Unhappy,900,TRUE
219,20876,Expensive,800,TRUE
115,6190,Expensive,800,TRUE
85,7450,Unhappy,500,TRUE
198,6160,Others,500,TRUE
116,5694,Expensive,700,FALSE
58,1620,Expensive,500,TRUE
22,771,Expensive,700,FALSE
197,19144,Expensive,500,TRUE
18,1483,Unhappy,900,TRUE
105,8982,Unhappy,600,TRUE
283,13392,Unhappy,500,TRUE
95,6797,Not Useful,900,FALSE
272,16302,Expensive,800,TRUE
87,5005,Expensive,500,FALSE
63,2376,Unhappy,600,FALSE
316,25105,Not Useful,800,TRUE
246,9539,Not Useful,900,TRUE
99,4226,Not Useful,900,FALSE
75,1838,Unhappy,600,TRUE
25,2109,Not Useful,500,TRUE
317,14216,Unhappy,600,TRUE
107,7003,Expensive,700,FALSE
105,8662,Not Useful,800,TRUE
259,11656,Expensive,500,FALSE
337,28516,Not Useful,600,TRUE
191,3914,Unhappy,700,FALSE
201,6464,Expensive,500,TRUE
314,25471,Expensive,600,TRUE
222,6120,Others,800,FALSE
201,7897,Unhappy,900,FALSE
280,13225,Not Useful,900,TRUE
18,366,Not Useful,800,FALSE
100,6962,Unhappy,800,TRUE
162,15757,Unhappy,900,TRUE
114,2517,Others,700,FALSE
25,2201,Unhappy,700,TRUE
129,11224,Expensive,600,TRUE
94,4696,Not Useful,800,TRUE
311,21839,Expensive,800,TRUE
4,377,Expensive,800,TRUE
293,24533,Unhappy,800,TRUE
348,32100,Others,600,FALSE
340,8358,Unhappy,500,TRUE
91,6228,Not Useful,800,TRUE
315,25973,Expensive,700,TRUE
152,3688,Unhappy,900,TRUE
88,6483,Others,500,TRUE
75,5239,Expensive,600,TRUE
182,12903,Not Useful,900,TRUE
66,2308,Unhappy,500,TRUE
289,26030,Expensive,600,TRUE
177,7326,Expensive,500,TRUE
6,406,Unhappy,800,FALSE
169,12112,Unhappy,900,FALSE
14,973,Expensive,500,TRUE
115,6479,Unhappy,500,TRUE
311,18925,Expensive,800,FALSE
293,10778,Not Useful,500,TRUE
30,2748,Unhappy,500,TRUE
246,6540,Unhappy,600,TRUE
215,14752,Unhappy,900,TRUE
91,7751,Others,600,TRUE
273,13316,Unhappy,800,TRUE
338,12855,Others,600,TRUE
139,11209,Others,800,TRUE
149,5688,Not Useful,700,TRUE
120,11687,Not Useful,700,TRUE
297,21488,Expensive,800,FALSE
83,4132,Expensive,500,TRUE
83,7951,Expensive,500,TRUE
73,4731,Expensive,600,FALSE
337,16687,Expensive,900,FALSE
154,11952,Others,700,TRUE
234,20657,Expensive,600,TRUE
310,15723,Expensive,800,TRUE
155,8594,Unhappy,700,TRUE
99,9262,Expensive,600,FALSE
51,1449,Expensive,500,FALSE
339,28158,Expensive,500,FALSE
25,1967,Expensive,900,TRUE
235,13402,Others,700,FALSE
156,7947,Expensive,800,FALSE
90,5018,Not Useful,800,FALSE
123,5417,Unhappy,800,FALSE
24,861,Unhappy,800,FALSE
65,2011,Expensive,500,FALSE
273,16624,Others,900,TRUE
83,6261,Unhappy,600,TRUE
183,14078,Not Useful,500,TRUE
140,11417,Expensive,600,TRUE
110,2546,Expensive,600,TRUE
269,14221,Expensive,800,TRUE
53,2320,Not Useful,800,TRUE
76,1585,Not Useful,900,TRUE
117,5782,Unhappy,600,FALSE
108,10329,Others,800,FALSE
94,2893,Unhappy,900,TRUE
58,3256,Expensive,700,TRUE
73,1850,Unhappy,600,TRUE
115,11005,Expensive,500,TRUE
7,612,Not Useful,900,TRUE
229,5479,Not Useful,900,FALSE
281,27540,Not Useful,500,TRUE
16,644,Unhappy,700,FALSE
41,2786,Not Useful,500,TRUE
91,8771,Expensive,600,TRUE
15,586,Unhappy,500,TRUE
161,7009,Not Useful,800,FALSE
161,15851,Not Useful,600,TRUE
119,5063,Expensive,900,FALSE
126,8679,Not Useful,600,TRUE
289,14238,Expensive,700,TRUE
114,4819,Expensive,900,FALSE
79,4171,Expensive,500,TRUE
359,19002,Expensive,800,TRUE
318,31694,Expensive,700,TRUE
129,11162,Unhappy,500,TRUE
74,1904,Others,500,TRUE
212,10989,Others,700,TRUE
168,6260,Others,700,FALSE
95,5556,Others,700,FALSE
296,26559,Unhappy,800,FALSE
27,1713,Not Useful,900,FALSE
132,12677,Unhappy,800,FALSE
152,11325,Expensive,600,TRUE
165,14891,Expensive,800,TRUE
41,903,Unhappy,600,TRUE
148,8570,Expensive,500,TRUE
171,5900,Not Useful,500,TRUE
196,16072,Unhappy,900,TRUE
260,20777,Not Useful,700,TRUE
244,21739,Expensive,900,FALSE
87,7408,Expensive,600,TRUE
63,2203,Expensive,800,TRUE
78,4592,Not Useful,500,TRUE
16,1014,Not Useful,800,TRUE
357,15209,Expensive,900,FALSE
17,1522,Unhappy,800,TRUE
345,10066,Unhappy,800,FALSE
7,201,Unhappy,600,FALSE
340,8174,Unhappy,700,FALSE
276,5735,Unhappy,900,FALSE
268,9700,Expensive,800,TRUE
243,23428,Unhappy,900,FALSE
29,1084,Others,600,TRUE
298,24018,Expensive,700,TRUE
237,22955,Others,900,TRUE
156,5636,Unhappy,800,TRUE
112,10094,Unhappy,500,TRUE
172,15737,Not Useful,600,TRUE
208,20446,Expensive,700,TRUE
210,12297,Unhappy,600,TRUE
91,3901,Expensive,900,FALSE
84,7193,Expensive,800,TRUE
94,9118,Unhappy,700,TRUE
300,13510,Not Useful,900,TRUE
17,917,Others,700,TRUE
134,3738,Expensive,900,FALSE
70,4430,Not Useful,500,TRUE
37,2642,Unhappy,800,TRUE
325,7183,Not Useful,700,FALSE
29,1058,Expensive,500,TRUE
355,14582,Unhappy,600,TRUE
68,4369,Expensive,500,FALSE
69,5609,Not Useful,600,FALSE
139,6647,Others,500,TRUE
66,4902,Not Useful,900,TRUE
36,3311,Expensive,600,TRUE
252,7402,Not Useful,900,FALSE
230,11899,Others,600,TRUE
309,12986,Unhappy,600,FALSE
60,5664,Expensive,500,FALSE
239,19447,Unhappy,900,TRUE
15,1094,Not Useful,800,TRUE
233,16010,Not Useful,900,TRUE
189,11395,Unhappy,500,TRUE
301,10593,Unhappy,800,TRUE
111,6116,Expensive,900,FALSE
280,22832,Not Useful,500,TRUE
76,5033,Not Useful,900,TRUE
